"Month_Year","Assembly_District","Democrat","Green","Independent","Libertarian","Natural Law","Non-Partisan","Other","Republican"
"5.20","Assembly Dist. 27",15725,117,1792,506,9,9185,337,11762
"5.20","Assembly Dist. 28",12383,15,819,167,0,5678,221,2893
"5.20","Assembly Dist. 29",16310,45,1842,374,0,9724,211,13771
"5.20","Assembly Dist. 30",14866,95,1721,453,10,8440,317,10939
"5.20","Assembly Dist. 31",15205,87,2095,581,8,9374,294,16977
"5.20","Assembly Dist. 32",8833,39,1817,381,9,7351,192,19578
"5.20","Assembly Dist. 33",4979,12,1513,294,3,5561,79,16550
"5.20","Assembly Dist. 34",15790,44,1464,341,0,8364,203,10290
"5.20","Assembly Dist. 35",19703,36,2203,527,0,13645,232,15252
"5.20","Assembly Dist. 36",12880,63,2746,481,6,9982,171,22265
"5.20","Assembly Dist. 37",15983,34,1785,312,0,8606,185,15047
"5.20","Assembly Dist. 38",8507,51,2572,547,3,8743,198,22436
"5.20","Assembly Dist. 39",12056,69,2573,585,8,9262,140,27997
"5.20","Assembly Dist. 40",12846,60,2132,524,4,8154,229,18952
"5.20","Assembly Dist. 41",16925,56,1905,474,0,10562,204,13034
"5.20","Assembly Dist. 42",12851,40,1114,256,0,7063,171,6460
"5.21","Assembly Dist. 01",20472,33,2121,368,0,12094,1280,12642
"5.21","Assembly Dist. 02",15085,40,2177,421,0,11714,1039,16039
"5.21","Assembly Dist. 03",14596,42,1282,286,0,8840,933,6643
"5.21","Assembly Dist. 04",18122,45,2533,555,0,13208,1230,17933
"5.21","Assembly Dist. 05",14922,48,1747,381,0,10236,993,11603
"5.21","Assembly Dist. 06",17191,26,1013,187,0,7967,980,2894
"5.21","Assembly Dist. 07",19124,52,1381,250,0,9661,1067,6580
"5.21","Assembly Dist. 08",16745,49,1830,368,0,12678,1292,10521
"5.21","Assembly Dist. 09",21176,53,2615,549,0,16527,1664,16224
"5.21","Assembly Dist. 10",13457,47,1286,267,0,8373,932,6527
"5.21","Assembly Dist. 11",12049,30,867,181,0,6894,678,2747
"5.21","Assembly Dist. 12",19055,41,1922,349,0,12340,1260,13466
"5.21","Assembly Dist. 13",14302,25,2253,426,0,11031,923,18158
"5.21","Assembly Dist. 14",14355,48,1092,207,0,8378,883,4988
"5.21","Assembly Dist. 15",15448,56,1421,284,0,9109,848,6282
"5.21","Assembly Dist. 16",13419,63,1435,358,0,9660,997,5730
"5.21","Assembly Dist. 17",21964,48,1835,379,0,12373,1384,9531
"5.21","Assembly Dist. 18",17083,65,1703,360,0,11184,1135,8576
"5.21","Assembly Dist. 19",13528,32,2233,356,0,11616,935,17073
"5.21","Assembly Dist. 20",15560,53,1653,366,0,10021,1047,9151
"5.21","Assembly Dist. 21",14517,50,1901,372,0,10275,907,11902
"5.21","Assembly Dist. 22",16160,31,2552,453,0,12786,1099,18795
"5.21","Assembly Dist. 23",16478,35,3137,506,0,14139,1029,24597
"5.21","Assembly Dist. 24",16638,114,1719,545,6,11074,903,7894
"5.21","Assembly Dist. 25",17560,102,2411,633,10,11869,984,20489
"5.21","Assembly Dist. 26",17941,87,2791,785,10,14005,1075,23234
"5.21","Assembly Dist. 27",16347,115,2028,598,13,11321,909,12161
"5.21","Assembly Dist. 28",12913,26,925,167,0,7405,795,3238
"5.21","Assembly Dist. 29",16871,50,2209,476,0,12260,1107,14784
"5.21","Assembly Dist. 30",15319,106,1931,516,10,10858,946,11409
"5.21","Assembly Dist. 31",15896,85,2419,654,8,11927,1030,17929
"5.21","Assembly Dist. 32",8794,41,1984,450,10,9130,602,20990
"5.21","Assembly Dist. 33",4720,15,1671,323,4,6961,403,18178
"5.21","Assembly Dist. 34",16544,56,1803,387,0,10462,1013,10847
"5.21","Assembly Dist. 35",21719,46,2858,581,0,18095,1732,17944
"5.21","Assembly Dist. 36",12091,49,2785,505,2,11707,1068,22519
"5.21","Assembly Dist. 37",16653,38,2059,356,0,10628,945,15792
"5.21","Assembly Dist. 38",7489,45,2480,551,6,10431,619,21804
"5.21","Assembly Dist. 39",11438,60,2662,625,11,10783,645,27688
"5.21","Assembly Dist. 40",12932,54,2372,588,4,10308,740,19152
"5.21","Assembly Dist. 41",18459,60,2405,519,0,14369,1453,14733
"5.21","Assembly Dist. 42",13513,46,1361,276,0,9159,923,7089
"6.18","Assembly Dist. 01",17305,46,1583,283,0,7980,253,10831
"6.18","Assembly Dist. 02",13161,49,1612,344,0,8287,172,15003
"6.18","Assembly Dist. 03",13147,56,994,229,0,5977,273,6192
"6.18","Assembly Dist. 04",15385,65,1843,449,0,8731,232,15405
"6.18","Assembly Dist. 05",13199,54,1339,293,0,6885,203,10702
"6.18","Assembly Dist. 06",16345,38,725,143,0,5516,564,2461
"6.18","Assembly Dist. 07",17373,72,1052,179,0,6586,342,5833
"6.18","Assembly Dist. 08",13609,52,1299,301,0,7727,217,8538
"6.18","Assembly Dist. 09",15537,63,1679,417,0,9777,234,12371
"6.18","Assembly Dist. 10",11918,54,980,239,0,5493,241,6018
"6.18","Assembly Dist. 11",10827,44,665,160,0,4814,320,2406
"6.18","Assembly Dist. 12",16001,55,1427,297,0,7907,292,10805
"6.18","Assembly Dist. 13",12891,44,1768,341,0,7983,203,15914
"6.18","Assembly Dist. 14",13126,58,851,164,0,5806,322,4496
"6.18","Assembly Dist. 15",13996,67,1135,259,0,6219,377,5570
"6.18","Assembly Dist. 16",12285,59,1092,335,0,6812,485,5060
"6.18","Assembly Dist. 17",17273,52,1298,277,0,7532,305,7901
"6.18","Assembly Dist. 18",14500,79,1227,297,0,7287,330,7234
"6.18","Assembly Dist. 19",11816,44,1824,269,0,7513,211,14017
"6.18","Assembly Dist. 20",13748,69,1322,299,0,6909,312,8385
"6.18","Assembly Dist. 21",12974,60,1524,330,0,7254,203,10733
"6.18","Assembly Dist. 22",14291,45,1932,392,0,9033,200,16705
"6.18","Assembly Dist. 23",14235,50,2414,403,0,9417,191,21267
"6.18","Assembly Dist. 24",14783,225,1426,527,4,7917,489,7335
"6.18","Assembly Dist. 25",14849,121,1967,540,8,8549,361,19186
"6.18","Assembly Dist. 26",14319,119,2085,616,9,9365,369,20969
"6.18","Assembly Dist. 27",13861,150,1654,457,11,7786,360,11172
"6.18","Assembly Dist. 28",11431,24,640,149,0,4779,283,2732
"6.18","Assembly Dist. 29",14544,61,1667,369,0,8447,242,13270
"6.18","Assembly Dist. 30",13002,105,1504,383,7,6727,318,10126
"6.18","Assembly Dist. 31",13432,108,1930,504,9,7694,286,15819
"6.18","Assembly Dist. 32",8354,52,1727,348,12,6328,206,17737
"6.18","Assembly Dist. 33",5654,17,1729,351,3,5836,109,17110
"6.18","Assembly Dist. 34",14406,58,1386,324,0,7202,246,9919
"6.18","Assembly Dist. 35",16674,49,1874,481,0,10731,243,13558
"6.18","Assembly Dist. 36",11449,72,2550,445,5,8085,173,19389
"6.18","Assembly Dist. 37",14425,42,1655,289,0,7523,210,14401
"6.18","Assembly Dist. 38",8006,59,2358,454,2,6852,171,20350
"6.18","Assembly Dist. 39",10754,88,2462,524,8,7734,143,24754
"6.18","Assembly Dist. 40",11082,79,1894,435,3,6460,223,17109
"6.18","Assembly Dist. 41",14419,65,1597,398,0,8325,213,11495
"6.18","Assembly Dist. 42",11747,53,1027,232,0,5898,204,6126
"6.19","Assembly Dist. 01",18113,45,1595,317,0,8626,243,11262
"6.19","Assembly Dist. 02",13615,42,1692,354,0,8987,162,15264
"6.19","Assembly Dist. 03",14128,52,1046,235,0,6792,259,6417
"6.19","Assembly Dist. 04",16262,56,1950,466,0,9770,216,16395
"6.19","Assembly Dist. 05",13679,45,1385,339,0,7577,198,11082
"6.19","Assembly Dist. 06",17506,35,861,185,0,6405,511,2743
"6.19","Assembly Dist. 07",18133,53,1144,206,0,7369,318,6091
"6.19","Assembly Dist. 08",14493,49,1387,343,0,8694,196,9077
"6.19","Assembly Dist. 09",17332,49,1846,445,0,11207,220,13509
"6.19","Assembly Dist. 10",12785,40,1089,253,0,6302,236,6262
"6.19","Assembly Dist. 11",11786,40,788,196,0,5568,316,2663
"6.19","Assembly Dist. 12",16958,48,1524,298,0,8842,268,11666
"6.19","Assembly Dist. 13",13344,31,1821,355,0,8569,185,16619
"6.19","Assembly Dist. 14",13846,53,918,173,0,6543,318,4645
"6.19","Assembly Dist. 15",14841,57,1230,290,0,7067,329,5842
"6.19","Assembly Dist. 16",13762,54,1306,384,0,8088,488,5530
"6.19","Assembly Dist. 17",18693,48,1404,297,0,8446,279,8302
"6.19","Assembly Dist. 18",15503,70,1365,345,0,8127,291,7713
"6.19","Assembly Dist. 19",12632,43,1898,297,0,8386,205,15096
"6.19","Assembly Dist. 20",14648,59,1396,353,0,7699,293,8690
"6.19","Assembly Dist. 21",13449,52,1584,348,0,7859,179,11099
"6.19","Assembly Dist. 22",14809,34,2001,417,0,9843,181,17513
"6.19","Assembly Dist. 23",14992,46,2528,451,0,10488,173,22699
"6.19","Assembly Dist. 24",15812,182,1551,540,5,9094,501,8068
"6.19","Assembly Dist. 25",15802,121,2088,542,10,9418,353,19933
"6.19","Assembly Dist. 26",15540,106,2259,676,7,10771,376,22120
"6.19","Assembly Dist. 27",14703,136,1719,500,11,8668,343,11656
"6.19","Assembly Dist. 28",12079,21,732,171,0,5450,253,2920
"6.19","Assembly Dist. 29",15506,55,1802,386,0,9234,224,13831
"6.19","Assembly Dist. 30",13791,110,1611,421,10,7632,300,10817
"6.19","Assembly Dist. 31",14204,99,2025,557,9,8622,298,16724
"6.19","Assembly Dist. 32",8751,45,1846,386,11,7072,194,19028
"6.19","Assembly Dist. 33",5748,23,1836,372,2,6412,112,18217
"6.19","Assembly Dist. 34",15121,52,1449,338,0,7944,212,10232
"6.19","Assembly Dist. 35",18074,43,2057,528,0,12144,232,14558
"6.19","Assembly Dist. 36",12123,76,2726,473,6,9093,179,21158
"6.19","Assembly Dist. 37",15170,40,1727,318,0,8377,200,14837
"6.19","Assembly Dist. 38",8179,58,2517,527,2,7573,193,21775
"6.19","Assembly Dist. 39",11331,87,2617,591,8,8689,147,26673
"6.19","Assembly Dist. 40",11850,69,2030,493,4,7389,232,18473
"6.19","Assembly Dist. 41",15524,54,1741,468,0,9398,193,12461
"6.19","Assembly Dist. 42",12365,52,1065,247,0,6595,195,6434
"6.20","Assembly Dist. 01",19323,38,1755,308,0,9500,212,11688
"6.20","Assembly Dist. 02",14659,39,1783,375,0,9428,156,15428
"6.20","Assembly Dist. 03",14236,46,1088,229,0,6987,217,6300
"6.20","Assembly Dist. 04",17443,48,2128,480,0,10752,220,17012
"6.20","Assembly Dist. 05",14457,46,1444,353,0,8177,189,11052
"6.20","Assembly Dist. 06",17796,26,963,171,0,6625,388,2797
"6.20","Assembly Dist. 07",18903,53,1226,222,0,7942,287,6207
"6.20","Assembly Dist. 08",15705,36,1486,331,0,9791,195,9379
"6.20","Assembly Dist. 09",19353,41,2011,473,0,12650,212,14263
"6.20","Assembly Dist. 10",12975,35,1123,243,0,6547,206,6107
"6.20","Assembly Dist. 11",12206,36,852,177,0,5693,245,2666
"6.20","Assembly Dist. 12",18211,48,1599,302,0,9792,257,12267
"6.20","Assembly Dist. 13",13965,28,1886,372,0,9167,178,17085
"6.20","Assembly Dist. 14",14243,41,958,177,0,6821,255,4681
"6.20","Assembly Dist. 15",15191,46,1268,289,0,7198,238,5819
"6.20","Assembly Dist. 16",14508,60,1410,367,0,8461,426,5568
"6.20","Assembly Dist. 17",20182,40,1505,313,0,9378,258,8672
"6.20","Assembly Dist. 18",16544,67,1471,343,0,8957,271,7847
"6.20","Assembly Dist. 19",13196,29,1929,315,0,9076,208,15694
"6.20","Assembly Dist. 20",15325,58,1446,356,0,8120,251,8629
"6.20","Assembly Dist. 21",14144,41,1608,347,0,8389,181,11232
"6.20","Assembly Dist. 22",15773,31,2113,393,0,10421,181,17751
"6.20","Assembly Dist. 23",16041,33,2621,454,0,11271,178,23380
"6.20","Assembly Dist. 24",14704,103,1302,431,5,7630,346,6725
"6.20","Assembly Dist. 25",15955,91,1938,498,7,9082,296,18823
"6.20","Assembly Dist. 26",15900,85,2173,615,7,10430,318,20922
"6.20","Assembly Dist. 27",14664,106,1627,454,9,8368,299,10866
"6.20","Assembly Dist. 28",12483,15,824,171,0,5773,222,2909
"6.20","Assembly Dist. 29",16450,46,1871,375,0,9888,210,13881
"6.20","Assembly Dist. 30",13556,83,1555,387,10,7594,267,9967
"6.20","Assembly Dist. 31",14347,75,1955,538,8,8716,254,15861
"6.20","Assembly Dist. 32",8566,38,1780,373,8,7187,173,19283
"6.20","Assembly Dist. 33",5005,12,1530,298,3,5699,81,16727
"6.20","Assembly Dist. 34",15990,47,1499,345,0,8501,207,10360
"6.20","Assembly Dist. 35",20015,37,2238,530,0,13924,239,15438
"6.20","Assembly Dist. 36",12995,62,2782,487,6,10144,169,22471
"6.20","Assembly Dist. 37",16131,34,1797,324,0,8711,187,15177
"6.20","Assembly Dist. 38",8529,52,2588,555,3,8949,203,22551
"6.20","Assembly Dist. 39",12050,69,2578,577,8,9384,139,28037
"6.20","Assembly Dist. 40",12807,59,2135,531,4,8249,225,18879
"6.20","Assembly Dist. 41",17140,57,1960,482,0,10795,204,13138
"6.20","Assembly Dist. 42",12983,40,1128,257,0,7159,171,6519
"6.21","Assembly Dist. 01",20537,32,2142,371,0,12333,1382,12686
"6.21","Assembly Dist. 02",15093,39,2192,428,0,11916,1108,16033
"6.21","Assembly Dist. 03",14580,41,1283,285,0,9022,984,6640
"6.21","Assembly Dist. 04",18141,43,2556,555,0,13399,1331,17962
"6.21","Assembly Dist. 05",14948,48,1753,380,0,10457,1074,11623
"6.21","Assembly Dist. 06",17195,26,1023,189,0,8182,1048,2917
"6.21","Assembly Dist. 07",19111,49,1391,250,0,9847,1135,6579
"6.21","Assembly Dist. 08",16785,51,1845,374,0,12917,1391,10542
"6.21","Assembly Dist. 09",21264,50,2631,551,0,16851,1805,16240
"6.21","Assembly Dist. 10",13468,45,1294,268,0,8624,1006,6533
"6.21","Assembly Dist. 11",12078,29,877,181,0,7083,736,2743
"6.21","Assembly Dist. 12",19081,42,1928,352,0,12584,1357,13505
"6.21","Assembly Dist. 13",14288,24,2264,435,0,11190,1011,18146
"6.21","Assembly Dist. 14",14368,46,1103,209,0,8547,935,4993
"6.21","Assembly Dist. 15",15458,56,1436,288,0,9360,907,6269
"6.21","Assembly Dist. 16",13446,63,1457,361,0,9982,1059,5758
"6.21","Assembly Dist. 17",22047,48,1845,381,0,12666,1479,9566
"6.21","Assembly Dist. 18",17101,65,1709,363,0,11454,1226,8580
"6.21","Assembly Dist. 19",13548,33,2239,355,0,11863,996,17154
"6.21","Assembly Dist. 20",15567,53,1664,369,0,10282,1125,9145
"6.21","Assembly Dist. 21",14497,49,1914,376,0,10417,1004,11897
"6.21","Assembly Dist. 22",16150,31,2569,456,0,12954,1202,18775
"6.21","Assembly Dist. 23",16516,36,3159,515,0,14366,1116,24644
"6.21","Assembly Dist. 24",16586,116,1723,542,6,11238,927,7900
"6.21","Assembly Dist. 25",17544,101,2425,640,9,11979,1039,20496
"6.21","Assembly Dist. 26",17954,87,2814,792,10,14130,1145,23254
"6.21","Assembly Dist. 27",16351,115,2029,603,12,11456,964,12152
"6.21","Assembly Dist. 28",12932,25,936,167,0,7624,850,3238
"6.21","Assembly Dist. 29",16909,49,2214,480,0,12498,1197,14801
"6.21","Assembly Dist. 30",15303,105,1934,515,10,11058,1015,11385
"6.21","Assembly Dist. 31",15885,84,2428,654,8,12098,1114,17908
"6.21","Assembly Dist. 32",8795,41,2000,455,10,9321,636,21056
"6.21","Assembly Dist. 33",4735,16,1689,323,4,7195,445,18233
"6.21","Assembly Dist. 34",16525,54,1806,389,0,10673,1099,10830
"6.21","Assembly Dist. 35",21760,47,2875,583,0,18402,1883,17976
"6.21","Assembly Dist. 36",12141,48,2812,512,2,12064,1156,22628
"6.21","Assembly Dist. 37",16650,38,2069,352,0,10818,1036,15797
"6.21","Assembly Dist. 38",7410,42,2474,550,5,10558,660,21672
"6.21","Assembly Dist. 39",11402,59,2643,631,11,10921,693,27620
"6.21","Assembly Dist. 40",12944,55,2371,588,4,10509,785,19147
"6.21","Assembly Dist. 41",18485,59,2434,522,0,14680,1555,14744
"6.21","Assembly Dist. 42",13506,46,1371,275,0,9399,981,7103
"7.20","Assembly Dist. 01",19445,37,1763,309,0,9746,216,11826
"7.20","Assembly Dist. 02",14748,36,1810,381,0,9604,152,15604
"7.20","Assembly Dist. 03",14298,46,1105,235,0,7167,217,6363
"7.20","Assembly Dist. 04",17545,48,2162,500,0,10989,219,17233
"7.20","Assembly Dist. 05",14511,46,1460,360,0,8428,197,11145
"7.20","Assembly Dist. 06",17788,26,977,174,0,6720,381,2831
"7.20","Assembly Dist. 07",18993,54,1234,232,0,8105,288,6256
"7.20","Assembly Dist. 08",15843,40,1532,334,0,10075,198,9515
"7.20","Assembly Dist. 09",19562,43,2067,472,0,13030,217,14520
"7.20","Assembly Dist. 10",13086,34,1145,242,0,6738,210,6161
"7.20","Assembly Dist. 11",12195,36,851,178,0,5810,244,2676
"7.20","Assembly Dist. 12",18342,46,1626,305,0,10062,264,12438
"7.20","Assembly Dist. 13",14021,29,1914,386,0,9375,177,17225
"7.20","Assembly Dist. 14",14253,42,958,180,0,6987,254,4734
"7.20","Assembly Dist. 15",15237,46,1274,296,0,7365,238,5874
"7.20","Assembly Dist. 16",14431,62,1414,372,0,8570,419,5582
"7.20","Assembly Dist. 17",20399,40,1529,326,0,9674,264,8776
"7.20","Assembly Dist. 18",16642,66,1489,339,0,9182,269,7948
"7.20","Assembly Dist. 19",13237,28,1953,325,0,9304,209,15853
"7.20","Assembly Dist. 20",15418,60,1453,361,0,8314,253,8735
"7.20","Assembly Dist. 21",14204,45,1620,351,0,8534,182,11325
"7.20","Assembly Dist. 22",15856,31,2144,403,0,10656,187,17933
"7.20","Assembly Dist. 23",16080,33,2646,466,0,11543,180,23543
"7.20","Assembly Dist. 24",15387,113,1406,469,6,8250,375,7101
"7.20","Assembly Dist. 25",16603,97,2057,533,7,9679,324,19568
"7.20","Assembly Dist. 26",16581,93,2311,672,7,11146,348,21886
"7.20","Assembly Dist. 27",15255,113,1742,504,9,8931,321,11339
"7.20","Assembly Dist. 28",12519,15,825,177,0,5925,222,2949
"7.20","Assembly Dist. 29",16456,44,1886,377,0,10151,212,14015
"7.20","Assembly Dist. 30",14277,83,1649,434,8,8277,302,10544
"7.20","Assembly Dist. 31",14979,86,2080,577,8,9365,289,16639
"7.20","Assembly Dist. 32",8720,38,1819,381,8,7555,189,19796
"7.20","Assembly Dist. 33",5036,12,1564,321,4,5946,86,16971
"7.20","Assembly Dist. 34",16094,48,1535,355,0,8683,202,10419
"7.20","Assembly Dist. 35",20222,35,2286,543,0,14356,241,15735
"7.20","Assembly Dist. 36",13022,63,2806,495,6,10373,174,22643
"7.20","Assembly Dist. 37",16203,37,1792,332,0,8899,190,15275
"7.20","Assembly Dist. 38",8193,47,2485,540,3,8901,200,21962
"7.20","Assembly Dist. 39",11279,61,2394,536,9,8841,122,26624
"7.20","Assembly Dist. 40",12935,61,2161,535,4,8518,233,19113
"7.20","Assembly Dist. 41",17357,60,1988,496,0,11205,210,13359
"7.20","Assembly Dist. 42",13115,40,1147,260,0,7339,171,6600
"7.21","Assembly Dist. 01",20573,31,2160,379,0,12626,1476,12736
"7.21","Assembly Dist. 02",15101,37,2193,435,0,12114,1215,16038
"7.21","Assembly Dist. 03",14586,40,1295,284,0,9224,1051,6650
"7.21","Assembly Dist. 04",18180,44,2576,561,0,13686,1443,17957
"7.21","Assembly Dist. 05",14960,47,1761,381,0,10655,1156,11628
"7.21","Assembly Dist. 06",17210,26,1034,188,0,8470,1110,2932
"7.21","Assembly Dist. 07",19113,49,1395,249,0,10135,1229,6580
"7.21","Assembly Dist. 08",16828,51,1861,376,0,13178,1503,10535
"7.21","Assembly Dist. 09",21291,48,2655,546,0,17194,1953,16261
"7.21","Assembly Dist. 10",13507,46,1303,272,0,8856,1075,6523
"7.21","Assembly Dist. 11",12066,30,885,182,0,7313,810,2748
"7.21","Assembly Dist. 12",19105,42,1941,350,0,12883,1460,13551
"7.21","Assembly Dist. 13",14280,24,2273,446,0,11434,1096,18147
"7.21","Assembly Dist. 14",14375,47,1119,212,0,8787,995,4991
"7.21","Assembly Dist. 15",15483,55,1454,289,0,9623,962,6279
"7.21","Assembly Dist. 16",13485,64,1465,364,0,10293,1116,5739
"7.21","Assembly Dist. 17",22129,48,1875,380,0,13059,1594,9620
"7.21","Assembly Dist. 18",17099,65,1723,366,0,11735,1314,8580
"7.21","Assembly Dist. 19",13583,32,2251,357,0,12166,1066,17204
"7.21","Assembly Dist. 20",15589,51,1670,374,0,10547,1206,9127
"7.21","Assembly Dist. 21",14534,46,1921,376,0,10639,1078,11916
"7.21","Assembly Dist. 22",16154,31,2589,461,0,13197,1294,18819
"7.21","Assembly Dist. 23",16568,37,3180,524,0,14704,1217,24711
"7.21","Assembly Dist. 24",16531,115,1725,546,7,11437,1002,7866
"7.21","Assembly Dist. 25",17551,97,2452,641,9,12173,1116,20496
"7.21","Assembly Dist. 26",17979,88,2832,803,9,14381,1252,23290
"7.21","Assembly Dist. 27",16321,114,2027,605,11,11635,1057,12153
"7.21","Assembly Dist. 28",12933,26,936,164,0,7895,919,3242
"7.21","Assembly Dist. 29",16903,50,2219,481,0,12781,1287,14811
"7.21","Assembly Dist. 30",15306,103,1954,522,10,11269,1066,11373
"7.21","Assembly Dist. 31",15894,83,2434,661,8,12336,1192,17952
"7.21","Assembly Dist. 32",8805,41,2019,455,11,9546,695,21119
"7.21","Assembly Dist. 33",4738,15,1696,328,4,7484,491,18318
"7.21","Assembly Dist. 34",16553,55,1813,391,0,10947,1187,10849
"7.21","Assembly Dist. 35",21835,47,2880,595,0,18735,2066,18005
"7.21","Assembly Dist. 36",12193,47,2833,515,2,12457,1256,22750
"7.21","Assembly Dist. 37",16674,39,2078,351,0,10983,1128,15797
"7.21","Assembly Dist. 38",7401,43,2480,565,5,10890,703,21735
"7.21","Assembly Dist. 39",11378,58,2662,636,11,11113,762,27656
"7.21","Assembly Dist. 40",12963,54,2380,592,4,10766,857,19189
"7.21","Assembly Dist. 41",18524,60,2452,521,0,14985,1687,14766
"7.21","Assembly Dist. 42",13495,46,1375,273,0,9642,1056,7110
"8.20","Assembly Dist. 01",19836,37,1833,307,0,10062,267,12083
"8.20","Assembly Dist. 02",15014,37,1860,398,0,9939,204,15903
"8.20","Assembly Dist. 03",14459,43,1135,242,0,7382,266,6520
"8.20","Assembly Dist. 04",17799,50,2227,511,0,11348,289,17643
"8.20","Assembly Dist. 05",14772,50,1497,371,0,8673,247,11378
"8.20","Assembly Dist. 06",17976,25,1003,182,0,6886,409,2881
"8.20","Assembly Dist. 07",19222,55,1258,236,0,8289,325,6402
"8.20","Assembly Dist. 08",16235,43,1578,346,0,10435,267,9832
"8.20","Assembly Dist. 09",20100,47,2151,485,0,13563,306,15015
"8.20","Assembly Dist. 10",13287,39,1186,241,0,6939,266,6308
"8.20","Assembly Dist. 11",12311,37,864,180,0,5944,267,2742
"8.20","Assembly Dist. 12",18650,47,1681,309,0,10386,340,12774
"8.20","Assembly Dist. 13",14179,30,1958,405,0,9638,220,17645
"8.20","Assembly Dist. 14",14451,45,983,187,0,7178,293,4832
"8.20","Assembly Dist. 15",15452,47,1312,297,0,7586,274,6013
"8.20","Assembly Dist. 16",14651,67,1456,375,0,8745,476,5764
"8.20","Assembly Dist. 17",20778,41,1589,335,0,10028,325,9045
"8.20","Assembly Dist. 18",16911,66,1527,347,0,9476,323,8185
"8.20","Assembly Dist. 19",13412,31,2007,326,0,9605,258,16261
"8.20","Assembly Dist. 20",15606,59,1498,363,0,8602,319,8957
"8.20","Assembly Dist. 21",14452,47,1675,355,0,8779,228,11552
"8.20","Assembly Dist. 22",16097,33,2205,405,0,10909,241,18362
"8.20","Assembly Dist. 23",16364,34,2718,470,0,11925,243,24036
"8.20","Assembly Dist. 24",15572,113,1457,487,7,8510,401,7219
"8.20","Assembly Dist. 25",16803,98,2114,538,8,9951,346,19860
"8.20","Assembly Dist. 26",16802,92,2363,680,7,11490,403,22276
"8.20","Assembly Dist. 27",15449,122,1784,518,8,9162,361,11496
"8.20","Assembly Dist. 28",12690,19,845,180,0,6087,255,3006
"8.20","Assembly Dist. 29",16672,47,1936,390,0,10480,272,14308
"8.20","Assembly Dist. 30",14427,84,1687,448,9,8548,336,10704
"8.20","Assembly Dist. 31",15130,86,2134,578,8,9692,329,16945
"8.20","Assembly Dist. 32",8738,40,1847,393,8,7742,228,20133
"8.20","Assembly Dist. 33",5068,14,1606,332,4,6248,105,17495
"8.20","Assembly Dist. 34",16421,48,1579,373,0,8921,258,10650
"8.20","Assembly Dist. 35",20658,40,2375,552,0,14906,342,16323
"8.20","Assembly Dist. 36",13287,61,2872,504,6,10725,240,23211
"8.20","Assembly Dist. 37",16457,38,1819,342,0,9186,234,15591
"8.20","Assembly Dist. 38",7966,48,2443,539,4,8980,229,21863
"8.20","Assembly Dist. 39",11392,63,2442,542,10,9006,158,26955
"8.20","Assembly Dist. 40",13094,61,2221,544,4,8782,257,19392
"8.20","Assembly Dist. 41",17710,62,2060,505,0,11713,283,13755
"8.20","Assembly Dist. 42",13292,40,1207,266,0,7619,218,6760
"8.21","Assembly Dist. 01",20619,31,2170,391,0,12911,1563,12754
"8.21","Assembly Dist. 02",15140,37,2212,441,0,12300,1285,16049
"8.21","Assembly Dist. 03",14593,38,1302,286,0,9428,1116,6646
"8.21","Assembly Dist. 04",18226,44,2597,565,0,13953,1543,17940
"8.21","Assembly Dist. 05",14981,47,1770,381,0,10862,1210,11613
"8.21","Assembly Dist. 06",17206,26,1044,190,0,8742,1175,2943
"8.21","Assembly Dist. 07",19120,49,1405,249,0,10354,1285,6576
"8.21","Assembly Dist. 08",16844,50,1871,381,0,13459,1585,10566
"8.21","Assembly Dist. 09",21337,48,2677,548,0,17586,2091,16281
"8.21","Assembly Dist. 10",13533,46,1306,280,0,9104,1135,6524
"8.21","Assembly Dist. 11",12069,30,890,182,0,7518,852,2750
"8.21","Assembly Dist. 12",19124,42,1954,352,0,13146,1539,13583
"8.21","Assembly Dist. 13",14296,24,2286,448,0,11606,1172,18141
"8.21","Assembly Dist. 14",14393,47,1128,215,0,9021,1045,4986
"8.21","Assembly Dist. 15",15488,54,1465,292,0,9893,1028,6282
"8.21","Assembly Dist. 16",13537,65,1478,370,0,10588,1173,5759
"8.21","Assembly Dist. 17",22208,47,1897,380,0,13414,1695,9621
"8.21","Assembly Dist. 18",17108,65,1732,369,0,12042,1382,8574
"8.21","Assembly Dist. 19",13597,31,2269,359,0,12426,1131,17232
"8.21","Assembly Dist. 20",15600,53,1679,381,0,10799,1264,9139
"8.21","Assembly Dist. 21",14516,46,1927,378,0,10845,1152,11931
"8.21","Assembly Dist. 22",16144,30,2606,470,0,13445,1382,18822
"8.21","Assembly Dist. 23",16610,36,3202,523,0,14953,1290,24686
"8.21","Assembly Dist. 24",16455,114,1735,550,7,11599,1055,7851
"8.21","Assembly Dist. 25",17521,95,2458,642,9,12295,1191,20457
"8.21","Assembly Dist. 26",18014,87,2839,809,9,14624,1317,23302
"8.21","Assembly Dist. 27",16269,111,2027,603,11,11782,1118,12117
"8.21","Assembly Dist. 28",12967,26,939,166,0,8089,967,3256
"8.21","Assembly Dist. 29",16885,49,2234,475,0,13034,1365,14807
"8.21","Assembly Dist. 30",15257,104,1960,526,9,11434,1126,11379
"8.21","Assembly Dist. 31",15884,83,2443,668,8,12517,1269,17913
"8.21","Assembly Dist. 32",8798,41,2030,463,11,9731,732,21177
"8.21","Assembly Dist. 33",4820,15,1718,336,4,7838,505,18543
